Unnamed: 0;station;lat;long;entidad;FreqInf;AO;Altitud
307;51025090;1.550194444;-78.69558333;IDEAM;h;7;15
308;51035020;1.819166667;-78.73;IDEAM;h;7;0
309;52020070;1.814166667;-76.78288889;IDEAM;h;7;2426
310;52040050;1.397333333;-77.03052778;IDEAM;h;7;2089
311;52045080;1.23;-77.28;IDEAM;h;7;2530
312;52050060;1.0995;-77.29972222;IDEAM;h;7;2985
313;52050080;1.094166667;-77.39197222;IDEAM;h;7;2411
314;52050090;1.05525;-77.49955556;IDEAM;h;7;2594
315;52055090;1.107583333;-77.38936111;IDEAM;h;7;2739
316;52055150;0.843111111;-77.38880556;IDEAM;h;7;3556
317;52055160;0.846583333;-77.92122222;IDEAM;h;7;4013
318;52055210;1.16;-77.27880556;IDEAM;h;7;2783
319;52055220;1.070707855;-77.63693569;IDEAM;h;7;3031
320;52055230;0.857083333;-77.67775;IDEAM;h;7;2962
321;52065020;1.67;-78.14;IDEAM;h;7;39
322;53045040;2.574416667;-77.89475;IDEAM;h;7;4
323;53075020;2.311416667;-77.25877778;IDEAM;h;7;1595
324;54010010;5.15875;-76.68922222;IDEAM;h;9;62
325;54015010;5.233444444;-76.03163889;IDEAM;h;9;1475
326;54015020;5.270111111;-76.55183611;IDEAM;h;9;81
327;54017040;5.265111111;-76.56275;IDEAM;;9;74
328;54020020;4.955694444;-76.60555556;IDEAM;h;9;51
329;54020090;5.0735;-76.67666667;IDEAM;h;9;51
330;54025010;4.898083333;-76.67666667;IDEAM;h;9;44
331;54050010;4.716666667;-76.91666667;IDEAM;h;9;33
332;54077210;3.925147222;-77.34900556;IDEAM;h;9;0
333;55015020;4.958061111;-77.36226389;IDEAM;h;9;0
334;56010040;5.708055556;-77.26583333;IDEAM;h;1;3
335;56015010;6.223333333;-77.40444444;IDEAM;h;1;7
336;56015040;7.104083333;-77.76411111;IDEAM;h;1;0
337;56019010;6.268638889;-77.43316667;IDEAM;h;1;0
338;56125730;4.62325;-75.43096111;CRQ;h;;3239
339;57015010;4.096;-81.60883333;EP;;;0
340;57025020;2.962944444;-78.17436111;IDEAM;h;7;0
341;1111500036;6.6363;-76.07073333;IDEAM;h;1;1890
342;1117500060;5.51;-76.58;IDEAM;h;1;44
343;1206500136;10.40031111;-75.51328056;IDEAM;h;2;28
344;1303500074;8.508777778;-76.17541667;IDEAM;h;2;82
345;1303500129;8.94;-75.45;IDEAM;h;2;73
346;1501500054;11.23052222;-74.05978611;IDEAM;h;5;381
347;1508500053;12.33919444;-71.34508056;IDEAM;h;5;25
348;1509500118;11.21015;-73.84445;IDEAM;h;5;234
349;1602500044;7.913166667;-72.80302778;IDEAM;h;8;1258
350;1602500063;7.299088889;-72.74576111;IDEAM;h;8;2691
351;1602500110;7.645111111;-72.79916944;IDEAM;h;8;960
352;2119500111;4.21;-74.64;IDEAM;h;11;326
353;2120500050;5.15886;-74.02322;IDEAM;h;11;3222
354;2120500135;4.85414;-74.03269;IDEAM;h;11;2547
355;2120500204;4.621556111;-74.10470889;IDEAM;;11;2559
356;2120700162;4.63825;-74.52002778;IDEAM;;11;614
357;2121500042;4.600222222;-75.336;IDEAM;h;10;2515
358;2121500048;4.418808333;-75.20585;IDEAM;h;10;1148
359;2201500047;3.284138889;-75.80245;IDEAM;h;10;1722
360;2202500051;3.2058;-75.6542;IDEAM;h;10;1603
361;2302500037;5.139917;-75.283361;IDEAM;h;10;2343
362;2302500064;5.265055556;-75.14305556;IDEAM;h;10;1991
363;2305500055;5.372638889;-75.15013889;IDEAM;h;10;2008
364;2306500106;5.00217;-74.53667;IDEAM;h;11;1718
365;2308500068;6.13;-75.28;IDEAM;h;1;2153
366;2308500071;6.08211;-75.56640167;IDEAM;h;1;2577
367;2319500043;7.0568;-73.0906;IDEAM;h;8;905
368;2319500125;7.73719;-73.04892;IDEAM;h;8;1990
369;2319500137;7.31022;-72.87683;IDEAM;h;8;3321
370;2401500040;5.21957;-73.78229;IDEAM;h;11;2818
371;2401500052;5.796416667;-73.72666667;IDEAM;h;8;2381
372;2401500080;5.634380556;-73.38646944;IDEAM;h;6;3213
373;2401500086;5.553611111;-73.35527778;IDEAM;h;6;2708
374;2403500041;5.78755;-73.05155;IDEAM;h;6;2491
375;2403500081;5.749661111;-73.23492222;IDEAM;h;6;2548
376;2403500082;5.52478;-73.23377;IDEAM;h;6;2788
377;2403500083;5.524;-73.07655;IDEAM;h;6;2760
378;2403500084;5.75802;-72.79485;IDEAM;h;6;2925
379;2403500085;6.23262;-72.69197;IDEAM;h;6;2467
380;2501500120;7.730194444;-75.85158056;IDEAM;h;2;128
381;2603500127;2.542913889;-76.85206111;IDEAM;h;9;1810
382;2604500039;3.18;-76.25;IDEAM;h;9;1079
383;2604500134;2.952388889;-76.26208333;IDEAM;h;9;1764
384;2610500131;3.929055556;-75.94063889;IDEAM;h;9;2922
385;2612500038;4.556333333;-75.66955556;IDEAM;h;9;1470
386;2612500124;4.331361111;-75.68413889;IDEAM;h;9;2111
387;2612500130;4.633475;-75.56885833;IDEAM;h;9;1968
388;2612500210;4.65361111;-75.46694444;CRQ;h;;2736
