Unnamed: 0;Station;lat;long;entidad;FreqInf;Obsv_freq
64;35025090;4.664888889;-73.84663889;IDEAM;h;
65;35025110;4.057361111;-73.46791667;IDEAM;h;
66;35035130;4.713666667;-73.80325;IDEAM;h;
67;35075070;5.21639;-73.34697;IDEAM;h;
68;35075080;5.39239;-73.56278;IDEAM;h;
69;35085070;4.84125;-73.25669444;IDEAM;h;
70;35095120;5.55663;-72.88175;IDEAM;h;
71;35185010;4.260361111;-72.56447222;IDEAM;h;
72;35260050;5.561361111;-70.28063889;IDEAM;h;
73;36015020;5.816194444;-71.41983333;IDEAM;h;
74;37015030;7.187;-72.8685;IDEAM;h;
75;44035040;1.733;-75.64502778;IDEAM;h;
76;46015030;2.063;-74.76269444;IDEAM;h;
77;47035030;-0.173722222;-74.89813889;IDEAM;h;
78;48015040;-3.780305556;-70.36263889;IDEAM;h;
79;51025060;1.408638889;-78.28161111;IDEAM;h;
80;52015050;2.032777778;-77.22166667;IDEAM;h;
81;52025090;2.193833333;-76.75033333;IDEAM;h;
82;52035040;1.62;-77.34;IDEAM;10min;
83;52055150;0.843111111;-77.38880556;IDEAM;h;
84;52055160;0.846583333;-77.92122222;IDEAM;h;
85;52055210;1.16;-77.27880556;IDEAM;h;
86;52055220;1.070707855;-77.63693569;IDEAM;h;
87;53075020;2.311416667;-77.25877778;IDEAM;h;
88;54017040;5.265111111;-76.56275;IDEAM;4min;
89;57025020;2.962944444;-78.17436111;IDEAM;h;
90;2120000104;4.81326;-74.03146;IDIGER;min;
91;2120000105;4.763457;-74.021772;IDIGER;min;
92;2120000106;4.5117;-74.16352222;IDIGER;min;
93;2120000107;4.53602;-74.10654;IDIGER;min;
94;2120000133;4.56144;-74.07482;IDIGER;min;
95;2120000142;4.63537;-74.20541;IDIGER;min;
96;2120000172;4.75947;-74.02752;IDIGER;min;
97;2120500201;4.57515;-74.07175;IDIGER;min;
98;2120500203;4.53335;-74.12513;IDIGER;min;
99;2120700037;4.556439;-74.125173;IDIGER;min;
100;2120700038;4.56235;-74.148869;IDIGER;min;
101;3526500201;5.480888889;-70.42130556;IDEAM;h;
