Unnamed: 0;station;lat;long;entidad;FreqInf
196;52055501;1.254722222;-77.48777778;CENICAFE;5min
197;52055502;1.300888889;-77.46035833;CENICAFE;5min
198;53075020;2.311416667;-77.25877778;IDEAM;h
199;53115501;3.610441667;-76.63785833;CENICAFE;5min
200;53115502;3.809163889;-76.53305556;CENICAFE;5min
201;54017040;5.265111111;-76.56275;IDEAM;h
202;54035501;4.726388889;-76.11446944;CENICAFE;5min
203;55015010;5.521083333;-76.97316667;IDEAM;h
204;57025020;2.962944444;-78.17436111;IDEAM;h
205;3502500135;4.22553;-73.81481;IDEAM;h
206;3526500201;5.480888889;-70.42130556;IDEAM;h
