;Station;lat;long;entidad;FreqInf;Observ;RASTERVALU;RegsNat;RP_ACP;LimInfRP
24;14015010;10.79416667;-75.26055556;IDEAM;H;;4;Caribe;4;17.34192196
25;14015020;10.447;-75.516;IDEAM;H;;5;Caribe;4;17.34192196
26;14015080;10.44725;-75.51602778;IDEAM;H;;6;Caribe;4;17.34192196
27;14017001;10.23491667;-75.74055;INVEMAR;H;;0;Caribe;4;17.34192196
28;15015050;11.1146944;-74.23102778;IDEAM;H;;0;Caribe;3;10.48394793
29;15015060;11.11108333;-74.05469444;IDEAM;H;;2267;Caribe;3;10.48394793
30;15015100;11.31;-73.93;IDEAM;H;;2;Caribe;3;10.48394793
31;15015120;11.22305556;-74.18591667;IDEAM;H;;19;Caribe;3;10.48394793
32;15035020;11.2525;-73.41138889;IDEAM;H;;3;Caribe;2;3.679334172
33;15065040;10.89813889;-72.82847222;IDEAM;H;;163;Caribe;2;3.679334172
34;15065180;11.5284444;-72.91772222;IDEAM;H;;12;Caribe;2;3.679334172
35;15065190;11.22677778;-72.82063889;IDEAM;H;;57;Caribe;2;3.679334172
36;15065501;11.13758333;-72.61594444;IDEAM;H;;101;Caribe;2;3.679334172
37;15075150;11.59494444;-72.32575;IDEAM;H;;42;Caribe;2;3.679334172
38;15075501;12.22430556;-71.98288889;IDEAM;H;;23;Caribe;2;3.679334172
39;15079010;12.22427778;-71.96766667;IDEAM;H;;3;Caribe;2;3.679334172
40;15085030;11.21675;-72.35994444;IDEAM;H;;118;Caribe;2;3.679334172
41;15085050;12.08352778;-71.21094444;IDEAM;H;;165;Caribe;2;3.679334172
42;16015110;7.898777778;-72.48716667;IDEAM;H;;296;Andina;8;13.68987482
43;16015120;7.360944444;-72.66605556;IDEAM;H;;2632;Andina;8;13.68987482
44;16015130;7.506722222;-72.48536111;IDEAM;H;;2013;Andina;8;13.68987482
45;16015501;7.93028;-72.50917;IDEAM;H;;309;Andina;8;13.68987482
46;16015502;7.56499722;-72.62110833;CENICAFE;5T;;1245;Andina;8;13.68987482
47;16025040;8.16728;-72.47878;IDEAM;H;;96;Andina;8;13.68987482
48;16025501;7.51945556;-72.79790278;CENICAFE;5T;;1625;Andina;8;13.68987482
