CodEstacion,fecha_inicial,fecha_final
26225060,2005-01-01 19:00:00,2023-03-17 04:00:00
26255030,2005-05-10 19:00:00,2024-09-13 06:00:00
27015280,2005-05-15 08:00:00,2024-09-02 18:00:00
27015290,2009-06-11 11:00:00,2020-04-13 02:00:00
27015320,2005-05-10 19:00:00,2024-09-13 07:00:00
27015501,2016-06-16 08:35:00,2019-02-13 14:30:00
28025120,2007-03-22 16:00:00,2021-10-15 19:00:00
28025501,2016-06-15 16:35:00,2016-09-30 15:30:00
28035070,2006-02-25 14:00:00,2011-04-06 21:00:00
28045501,2016-06-16 08:35:00,2018-09-19 12:20:00
29015040,2006-02-28 17:00:00,2024-09-13 07:00:00
29035200,2017-09-30 12:00:00,2024-09-07 00:00:00
29045150,2005-05-16 09:00:00,2010-01-31 15:00:00
29065120,2006-02-22 16:00:00,2022-02-06 07:00:00
29065130,2008-10-20 13:00:00,2023-03-17 04:00:00
29065501,2016-06-15 10:30:00,2018-05-06 14:25:00
32075501,2016-06-02 14:40:00,2018-05-09 13:05:00
35017020,2016-09-01 02:00:00,2016-09-01 02:00:00
35020300,2021-09-22 20:00:00,2024-10-15 04:00:00
35025080,2007-11-16 16:00:00,2023-03-17 04:00:00
35025110,2009-10-18 01:00:00,2023-03-11 00:00:00
35025501,2016-06-15 16:35:00,2019-04-06 09:20:00
35035110,2008-07-04 17:00:00,2024-09-13 07:00:00
35035130,2010-08-05 08:00:00,2023-03-10 21:00:00
35075070,2017-01-01 10:00:00,2024-09-13 02:00:00
35075080,2006-08-27 18:00:00,2023-03-17 04:00:00
35085060,2005-04-18 18:00:00,2024-09-13 07:00:00
35085070,2005-03-08 14:00:00,2024-09-13 07:00:00
35085080,2004-09-22 09:04:00,2024-09-13 07:00:00
35095120,2005-04-16 12:00:00,2024-09-13 07:00:00
35185010,2005-08-23 18:00:00,2023-03-16 22:00:00
35260050,2021-02-18 12:00:00,2023-12-20 06:00:00
36015020,2005-10-14 19:00:00,2023-03-17 04:00:00
36015501,2016-06-16 08:35:00,2018-09-22 13:15:00
37015030,2005-07-25 19:00:00,2024-09-13 07:00:00
37015501,2016-06-15 16:35:00,2018-08-02 14:20:00
44015070,2005-10-26 19:00:00,2024-09-03 02:00:00
44035040,2006-02-15 19:00:00,2022-11-19 13:00:00
44035501,2018-05-03 09:20:00,2018-08-16 10:30:00
46015030,2016-10-20 10:00:00,2016-10-20 10:00:00
47035030,2007-08-21 09:00:00,2013-01-29 02:00:00
48015040,2007-05-18 16:00:00,2020-11-04 10:00:00
51025060,2005-11-26 01:00:00,2019-10-06 17:00:00
51025080,2013-05-30 19:00:00,2014-08-10 19:00:00
52015050,2005-09-14 18:00:00,2022-12-07 12:00:00
52015501,2016-06-15 14:40:00,2018-11-27 12:45:00
52025090,2005-09-13 12:00:00,2020-05-25 02:00:00
52025501,2016-06-15 16:25:00,2018-11-29 10:30:00
52035501,2016-06-02 13:30:00,2018-11-27 07:30:00
52055150,2005-11-25 16:00:00,2023-02-26 15:00:00
52055160,2019-07-24 16:00:00,2020-05-05 02:00:00
52055170,2005-11-28 12:00:00,2023-03-17 04:00:00
52055210,2005-05-10 18:00:00,2024-09-13 07:00:00
52055220,2005-11-23 18:00:00,2023-01-09 12:00:00
52055501,2016-06-15 16:30:00,2018-12-04 12:25:00
52055502,2016-06-16 08:30:00,2018-12-03 14:25:00
53075020,2005-09-11 19:00:00,2020-02-22 23:00:00
53115501,2016-06-15 14:15:00,2019-03-19 16:55:00
53115502,2016-06-29 12:50:00,2019-02-05 08:25:00
54017040,2016-10-29 07:56:00,2016-10-29 08:00:00
54035501,2016-06-15 16:15:00,2018-06-22 16:55:00
55015010,2006-10-14 11:00:00,2024-09-13 07:00:00
57025020,2005-12-18 07:00:00,2024-04-16 15:00:00
3526500201,2021-02-18 12:00:00,2024-10-15 04:00:00
