CodEstacion,fecha_inicial,fecha_final
23115010,2022-08-05 00:00:00,2024-04-23 00:00:00
23125140,2017-12-29 19:00:00,2023-05-20 21:00:00
23125170,2023-03-25 14:37:00,2023-10-05 14:00:00
23155030,2022-08-05 00:00:00,2024-04-23 00:00:00
23180070,2017-11-09 12:00:00,2023-10-05 16:00:00
23190130,2019-03-05 15:00:00,2023-09-16 20:00:00
23190700,2017-10-30 13:00:00,2023-05-16 16:00:00
23195040,2022-02-22 00:00:00,2022-07-22 11:10:00
23195090,2017-10-30 16:00:00,2023-03-17 04:00:00
23195110,2017-11-06 17:40:00,2023-09-25 14:00:00
23195200,2017-11-01 17:00:00,2023-03-17 04:00:00
23195230,2005-07-26 16:00:00,2022-04-29 03:00:00
23195240,2005-08-08 14:00:00,2023-05-16 16:00:00
23195502,2015-08-27 17:00:00,2023-04-05 10:00:00
23205050,2018-04-14 15:00:00,2023-03-12 12:00:00
24010390,2014-05-29 12:00:00,2021-05-05 21:00:00
24015110,2016-10-05 12:00:00,2023-04-25 11:00:00
24015300,2019-03-05 15:00:00,2023-03-17 04:00:00
24015340,2015-11-01 17:00:00,2021-05-05 21:00:00
24015380,2018-04-05 13:00:00,2023-03-17 04:00:00
24015504,2015-11-10 22:00:00,2021-05-05 21:00:00
24015506,2015-11-01 16:00:00,2021-05-05 21:00:00
24015507,2018-10-29 15:00:00,2024-06-30 09:00:00
24015508,2018-10-29 15:00:00,2024-07-01 04:00:00
24015513,2016-03-01 01:00:00,2016-08-10 16:00:00
24025030,2017-12-14 16:00:00,2022-10-08 01:00:00
24025050,2016-03-01 01:00:00,2021-05-05 22:00:00
24025090,2023-04-04 15:00:00,2023-10-02 11:00:00
24027070,2017-01-02 13:10:00,2017-01-02 13:10:00
24030350,2017-10-26 13:00:00,2017-11-03 17:00:00
24030680,2017-10-25 16:00:00,2023-03-17 04:00:00
24030950,2017-10-11 19:00:00,2023-03-17 04:00:00
24035250,2017-10-28 10:00:00,2023-03-17 04:00:00
24035340,2020-02-18 12:00:00,2024-07-01 04:00:00
24035360,2023-03-29 17:00:00,2023-05-16 15:00:00
24035370,2005-01-01 07:46:00,2023-05-16 15:00:00
24035380,2006-12-03 18:00:00,2023-05-16 15:00:00
24035390,2005-04-19 19:00:00,2023-05-16 15:00:00
24035410,2008-05-08 11:00:00,2023-05-16 15:00:00
24035430,2005-04-21 18:00:00,2023-05-16 15:00:00
24035440,2019-08-26 12:00:00,2023-09-13 00:00:00
24055070,2005-04-19 18:00:00,2023-04-12 01:00:00
24055080,2005-02-14 18:00:00,2023-05-16 16:00:00
25010010,2021-06-03 17:00:00,2023-04-19 21:00:00
25025000,2013-05-16 14:00:00,2022-05-03 14:00:00
