Station,minimo,maximo,media,mediana,desvest,varianza
35020300,-1000.0,25.0,2.889279898319897,19.6,114.00545515839416,12997.243805872622
35025080,-13.8,225.9,11.634595288060423,11.5,1.1663381230242797,1.3603446172197997
35025110,-241.8,33.8,28.393184808099296,28.5,1.8502367602490273,3.4233760689768165
35035130,-3262.8,1515.9,11.903548842635228,7.0,80.68058300414734,6509.356473889108
35075070,15.3,28.7,19.22498815216923,19.0,1.3877041133389918,1.9257227061779576
35075080,-1018.2,3277.8,9.843768281722362,8.9,14.744042780839251,217.38679752321806
35095120,-39.8,3277.9,12.375105039113249,13.1,17.747394458376203,314.9700100612023
35185010,-3264.1,3277.8,33.229787671965944,28.7,94.30439507165305,8893.318929830419
35260050,18.7,39.1,29.309515717926935,29.1,1.960182142802385,3.842314032961349
36015020,-637.7,3277.9,47.26042019002048,27.6,165.09819416121263,27257.413715293467
37015030,0.0,3376.8,18.094837897102263,13.7,74.93718620478042,5615.581876289932
46015030,30.6,30.6,30.6,30.6,,
47035030,-14.8,3277.8,16.631788286877544,26.8,27.566837824259196,759.9305476290074
48015040,0.0,3277.9,87.8452926297427,27.7,242.43215811990683,58773.35129067551
51025060,-2971.6,3277.9,27.173414664941134,25.5,51.59614585834526,2662.162267435639
52055150,-3268.0,5828.8,14.601746863027659,8.5,111.092684135174,12341.58446835754
52055160,4.7,11.7,8.495639142814326,8.7,1.325835281437171,1.7578391935035822
52055210,1.7,3277.9,16.089334054399902,16.2,14.199831115600878,201.63520371158685
52055220,-2688.0,3277.8,16.21225380648864,14.2,58.64249681439694,3438.9424326265557
53075020,9.8,3277.8,22.48443481160387,22.4,18.85223088794158,355.40660945225864
55015010,-1458.1,3277.8,28.42162786079531,28.4,17.844094421903367,318.4117057378029
57025020,-3202.4,3277.9,40.95574466370243,28.0,131.1233306955685,17193.327852699418
3526500201,18.7,212.4,29.903694787009286,29.4,7.332061342720044,53.75912353340965
