Unnamed: 0;Station;lat;long;entidad;FreqInf;Obsv_freq
85;35075080;5.39239;-73.56278;IDEAM;h;
86;35075090;5.083333333;-73.65;CAR;10min;
87;35095120;5.55663;-72.88175;IDEAM;h;
88;35185010;4.260361111;-72.56447222;IDEAM;h;
89;35215020;5.320444444;-72.3875;IDEAM;2min;
90;35260050;5.561361111;-70.28063889;IDEAM;h;
91;36015020;5.816194444;-71.41983333;IDEAM;h;
92;37015030;7.187;-72.8685;IDEAM;h;
93;46015030;2.063;-74.76269444;IDEAM;h;
94;47035030;-0.173722222;-74.89813889;IDEAM;h;
95;48015040;-3.780305556;-70.36263889;IDEAM;10min;
96;51025060;1.408638889;-78.28161111;IDEAM;h;
97;51025090;1.550194444;-78.69558333;IDEAM;h;
98;52025080;1.96;-77.12;IDEAM;h;
99;52035040;1.62;-77.34;IDEAM;h;
100;52050060;1.0995;-77.29972222;IDEAM;h;
101;52050080;1.094166667;-77.39197222;IDEAM;h;
102;52050090;1.05525;-77.49955556;IDEAM;h;
103;52055090;1.107583333;-77.38936111;IDEAM;h;
104;52055150;0.843111111;-77.38880556;IDEAM;h;
105;52055160;0.846583333;-77.92122222;IDEAM;h;
106;52055210;1.16;-77.27880556;IDEAM;h;
107;52055220;1.070707855;-77.63693569;IDEAM;h;
108;53075020;2.311416667;-77.25877778;IDEAM;h;
109;54017040;5.265111111;-76.56275;IDEAM;h;
110;55015010;5.521083333;-76.97316667;IDEAM;h;
111;57025020;2.962944444;-78.17436111;IDEAM;h;
112;3526500201;5.480888889;-70.42130556;IDEAM;h;
